date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:23	1323/1323	---M--	200	added ('OK')	image/jpeg	etag:%2252b-582c26f9734c0%22	https://demo1leotheme.b-cdn.net/ap_booking_demo/img/l/6.jpg	C:/My%20Web%20Sites/qlks/demo1leotheme.b-cdn.net/ap_booking_demo/img/l/6.jpg	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:25	160159/160159	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:25%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/module/appagebuilder/appagebuilderhome?SubmitCurrency=1&id_currency=2	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/module/appagebuilder/appagebuilderhome6edc.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:26	2522/2522	---M--	200	added ('OK')	image/jpeg	etag:%229da-582c26f87f280%22	https://demo1leotheme.b-cdn.net/ap_booking_demo/img/ap-booking-prestashop-17-logo-1516415760.jpg	C:/My%20Web%20Sites/qlks/demo1leotheme.b-cdn.net/ap_booking_demo/img/ap-booking-prestashop-17-logo-1516415760.jpg	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:26	160095/160095	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:26%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/module/appagebuilder/appagebuilderhome?SubmitCurrency=1&id_currency=1	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/module/appagebuilder/appagebuilderhomee3c8.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:26	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Aug%202022%2015:17:26%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/index.php	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/index.php	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:28	159689/159689	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:28%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/home-2.html	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/home-2.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:29	157562/157562	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:28%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/home-3.html	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/home-3.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:29	161625/161625	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:29%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/home-4.html	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/home-4.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:30	111847/111847	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:30%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/3-room	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/3-room.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:31	111990/111990	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:31%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/4-lighting	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/4-lighting.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:32	112863/112863	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:32%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/8-decoration	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/8-decoration.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:33	112530/112530	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:32%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/12-saepe-postea	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/12-saepe-postea.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
